N,k,y_detrended
100,1,0.002685943082830051
100,2,0.0008952571657044425
100,3,0.003946373120555829
100,4,0.004706997669777796
100,5,0.012857594584902985
100,6,0.011194492676642484
100,7,0.03595235007572488
100,8,0.018783268610989244
100,9,0.035658861503676934
100,10,0.03521862864560718
100,11,0.08878029304413185
100,12,0.010565588593675967
100,13,0.10628479001977913
100,14,0.022598620047584277
100,15,0.09685122877542872
100,16,0.09391634305495507
100,17,0.1696363946430072
100,18,6.614953244319809e-16
100,19,0.19070887411595916
100,20,0.02347908576374652
100,21,0.194142690408906
100,22,0.14204846887061856
100,23,0.3881386365317958
100,24,0.08452470874946819
100,25,0.36686071505841067
100,26,0.17005566403164968
100,27,0.2852708920294217
100,28,0.17257128036349453
100,29,0.4936477781825939
100,30,0.08804657161399954
100,31,0.5288297207566852
100,32,0.22539922333187415
100,33,0.31960905495889314
100,34,0.4523637190479933
100,35,0.7190470015144654
100,36,0.3803611893725638
100,37,1.0150379498070747
100,38,0.5085569976425768
100,39,0.7652504881424089
100,40,0.4695817152747299
100,41,1.1276669476812489
100,42,0.388285380817859
100,43,1.1839862611950542
100,44,0.5681938754824734
100,45,0.7924191445261406
100,46,0.6210218184508777
100,47,1.296632511302418
100,48,0.5071482524967226
100,49,1.2079989625442984
100,50,0.5869771440934404
100,51,1.5267275517870544
100,52,1.360445312253155
100,53,2.1984250636780143
100,54,1.1410835681176392
100,55,1.7756058608827097
100,56,1.3805702429078033
100,57,1.7163798670436579
100,58,1.5796728901842594
100,59,2.451920926307161
100,60,1.0565588593682156
100,61,2.5364229133607292
100,62,1.6922551064214153
100,63,1.7472842136801765
100,64,1.803193786655091
100,65,2.1256958003955577
100,66,1.2784362198354955
100,67,2.789936893943457
100,68,1.809454876192136
100,69,2.095948637271666
100,70,1.4380940030290061
100,71,2.9589517833750723
100,72,1.5214447574902081
100,73,3.0434606278773497
100,74,2.0300758996141157
100,75,1.981047861315326
100,76,2.0342279905702254
100,77,2.6101406154975018
100,78,1.530500976284794
100,79,3.296991920658479
100,80,1.8783268610990769
100,81,2.5674380282647506
100,82,2.255333895362475
100,83,3.4660161819940996
100,84,1.5531415232711794
100,85,2.82727324405014
100,86,2.36797252239
100,87,2.6656980021860077
100,88,2.2727755019298086
100,89,3.7195567666913836
100,90,1.5848382890523325
100,91,3.1247728265814807
100,92,2.4840872738034547
100,93,2.855680492086105
100,94,2.5932650226048723
100,95,3.1784812352660166
100,96,2.028593009986937
100,97,4.057617268487941
100,98,2.4159979250886416
100,99,2.8764814946299633
100,100,2.3479085763738063
