x,y
1,1634.0456096246999
2,1625.6990505917502
3,1628.0947255113
4,1618.9111747851
5,1631.04042143653
6,1620.97735399284
7,1629.7895304910899
8,1613.58363214511
9,1623.2423490488
10,1623.51908731899
11,1629.32790224032
12,1615.31152436541
13,1628.60980523841
14,1622.5097555966302
15,1625.7501363884298
16,1609.5617529880399
17,1630.3384724437299
18,1617.27774987443
19,1628.00595871462
20,1617.40749360018
21,1624.69536961819
22,1622.04416650381
23,1626.30579297245
24,1610.9422492401202
25,1628.5211267605603
26,1621.4078565779
27,1619.3924763629
28,1616.5904637491801
29,1629.6809986130302
30,1619.3480546792803
31,1628.7559674248798
32,1606.60493138458
33,1624.21557770394
34,1623.34326518031
35,1627.36632348057
36,1612.5394677492097
37,1631.25948406676
38,1620.92068294791
39,1623.5504014272901
40,1612.66459535434
41,1630.10666130006
42,1618.4721622788002
43,1629.35488144125
44,1616.13463336449
45,1621.4990361719001
46,1619.5856873822902
47,1630.01691526987
48,1607.6736017292599
49,1626.33875446251
50,1621.7201166180703
51,1625.44169611307
52,1615.5088852988602
53,1627.3393002440998
54,1614.33979069249
55,1626.89804772234
56,1611.8836915297
57,1623.0426334438198
58,1622.2316264635301
59,1630.14713665714
60,1614.2384105960202
61,1630.28460900801
62,1621.62162162162
63,1620.5363545102498
64,1604.40064176025
65,1626.21966474856
66,1618.01683612113
67,1631.7016317016298
68,1617.5561508345302
69,1621.67606768734
70,1620.74554294975
71,1629.61091460333
72,1608.95417978314
73,1630.3740926856499
74,1623.70841376178
75,1623.80231971759
76,1615.2229228897
77,1625.8274300313499
78,1617.40100390407
79,1631.1860658003802
80,1609.0584028605401
81,1616.3948621734698
82,1622.67169466346
83,1628.6317482657998
84,1613.47728081622
85,1627.9552053090001
86,1621.96544047492
87,1624.49683726279
88,1611.52614727854
89,1629.45855786502
90,1616.06268364348
91,1625.1846800772798
92,1614.16297839104
93,1623.7874314635098
94,1622.69292704075
95,1625.67736556898
96,1605.1912568306002
97,1627.48643761302
98,1619.9733180865198
99,1620.09512485136
100,1616.26056079343
